date,airport,direction,time,destination,flight,airline,duration,raw_text,scraped_at
2026-01-31,BKK,departure,02:35,TPE Taipei,CI838,,3h 40m,02:35 | China Airlines | TPE Taipei | CI838 | 3h 40m | DETAILS,2026-01-28T09:49:43.374619
2026-01-31,BKK,departure,02:35,KMG Kunming,MU894,,2h 25m,02:35 | China Eastern | KMG Kunming | MU894 | 2h 25m | DETAILS,2026-01-28T09:49:43.438927
2026-01-31,BKK,departure,02:40,SZX Shenzhen,CZ8158,,3h 25m,02:40 | China Southern | SZX Shenzhen | CZ8158 | 3h 25m | DETAILS,2026-01-28T09:49:43.525425
2026-01-31,BKK,departure,02:50,CGO Zhengzhou,CZ3080,,4h 0m,02:50 | China Southern | CGO Zhengzhou | CZ3080 | 4h 0m | DETAILS,2026-01-28T09:49:43.609659
2026-01-31,BKK,departure,02:50,XIY Xian,9C6252,,3h 45m,02:50 | Spring Airlines | XIY Xian | 9C6252 | 3h 45m | DETAILS,2026-01-28T09:49:43.689032
2026-01-31,BKK,departure,02:55,DXB Dubai,EK371,,6h 40m,02:55 | Emirates | DXB Dubai | EK371 | 6h 40m | DETAILS,2026-01-28T09:49:43.758291
2026-01-31,BKK,departure,02:55,AUH Abu Dhabi,EY401,,6h 50m,02:55 | Etihad | AUH Abu Dhabi | EY401 | 6h 50m | DETAILS,2026-01-28T09:49:43.865424
2026-01-31,BKK,departure,03:00,DOH Doha,QR827,,7h 25m,03:00 | Qatar Airways | DOH Doha | QR827 | 7h 25m | DETAILS,2026-01-28T09:49:43.929378
2026-01-31,BKK,departure,03:05,TNA Jinan,SC8076,,4h 20m,03:05 | Shandong Airlines | TNA Jinan | SC8076 | 4h 20m | DETAILS,2026-01-28T09:49:43.989123
2026-01-31,BKK,departure,03:10,CAN Guangzhou,MU2078,,3h 45m,03:10 | China Eastern | CAN Guangzhou | MU2078 | 3h 45m | DETAILS,2026-01-28T09:49:44.054008
2026-01-31,BKK,departure,03:15,SZX Shenzhen,ZH306,,2h 45m,03:15 | Shenzhen Airlines | SZX Shenzhen | ZH306 | 2h 45m | DETAILS,2026-01-28T09:49:44.117118
2026-01-31,BKK,departure,03:30,IKT Irkutsk,S76306,,6h 25m,03:30 | S7 Airlines | IKT Irkutsk | S76306 | 6h 25m | DETAILS,2026-01-28T09:49:44.181104
2026-01-31,BKK,departure,03:40,WUH Wuhan,MU2564,,3h 30m,03:40 | China Eastern | WUH Wuhan | MU2564 | 3h 30m | DETAILS,2026-01-28T09:49:44.237129
