date,origin_group,dep_airport,arr_airport,destination,airline,airline_code,dep_time,arr_time,duration,stops,price_value,price_text,scraped_at,source
2026-03-23,BKKA,DMK,SNO,SNO,Nok Air,DD,6:05,7:20,1ชม.15นาที,Direct,868,฿868,2026-01-26 13:58:44,airpaz.com
2026-03-23,BKKA,DMK,SNO,SNO,Nok Air,DD,15:45,17:00,1ชม.15นาที,Direct,901,฿901,2026-01-26 13:58:44,airpaz.com
2026-03-23,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,6:50,8:05,1ชม.15นาที,Direct,968,฿968,2026-01-26 13:58:44,airpaz.com
2026-03-23,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:15,14:35,1ชม.20นาที,Direct,984,฿984,2026-01-26 13:58:44,airpaz.com
2026-03-24,BKKA,DMK,SNO,SNO,Nok Air,DD,6:05,7:20,1ชม.15นาที,Direct,868,฿868,2026-01-26 13:59:13,airpaz.com
2026-03-24,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,6:50,8:05,1ชม.15นาที,Direct,968,฿968,2026-01-26 13:59:13,airpaz.com
2026-03-24,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:15,14:35,1ชม.20นาที,Direct,984,฿984,2026-01-26 13:59:13,airpaz.com
2026-03-25,BKKA,DMK,SNO,SNO,Nok Air,DD,6:05,7:20,1ชม.15นาที,Direct,868,฿868,2026-01-26 13:59:42,airpaz.com
2026-03-25,BKKA,DMK,SNO,SNO,Nok Air,DD,15:45,17:00,1ชม.15นาที,Direct,901,฿901,2026-01-26 13:59:42,airpaz.com
2026-03-25,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,6:50,8:05,1ชม.15นาที,Direct,968,฿968,2026-01-26 13:59:42,airpaz.com
2026-03-25,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:15,14:35,1ชม.20นาที,Direct,984,฿984,2026-01-26 13:59:42,airpaz.com
2026-03-26,BKKA,DMK,SNO,SNO,Nok Air,DD,6:05,7:20,1ชม.15นาที,Direct,868,฿868,2026-01-26 14:00:11,airpaz.com
2026-03-26,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:15,14:35,1ชม.20นาที,Direct,984,฿984,2026-01-26 14:00:11,airpaz.com
2026-03-26,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,6:50,8:05,1ชม.15นาที,Direct,1161,"฿1,161",2026-01-26 14:00:11,airpaz.com
2026-03-27,BKKA,DMK,SNO,SNO,Nok Air,DD,6:05,7:20,1ชม.15นาที,Direct,868,฿868,2026-01-26 14:00:39,airpaz.com
2026-03-27,BKKA,DMK,SNO,SNO,Nok Air,DD,15:45,17:00,1ชม.15นาที,Direct,901,฿901,2026-01-26 14:00:39,airpaz.com
2026-03-27,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,6:50,8:05,1ชม.15นาที,Direct,968,฿968,2026-01-26 14:00:39,airpaz.com
2026-03-27,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:15,14:35,1ชม.20นาที,Direct,984,฿984,2026-01-26 14:00:39,airpaz.com
