date,origin_group,dep_airport,arr_airport,destination,airline,airline_code,dep_time,arr_time,duration,stops,price_value,price_text,scraped_at,source
2026-03-23,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,15:05,16:05,1ชม.0นาที,Direct,1074,"฿1,074",2026-01-28T13:02:59.547019,airpaz.com
2026-03-23,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1076,"฿1,076",2026-01-28T13:02:59.576083,airpaz.com
2026-03-24,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,16:00,17:05,1ชม.5นาที,Direct,913,฿913,2026-01-28T13:03:27.650204,airpaz.com
2026-03-24,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,15:05,16:05,1ชม.0นาที,Direct,1074,"฿1,074",2026-01-28T13:03:27.676874,airpaz.com
2026-03-24,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1076,"฿1,076",2026-01-28T13:03:27.704369,airpaz.com
2026-03-25,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1076,"฿1,076",2026-01-28T13:03:56.700576,airpaz.com
2026-03-25,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,15:05,16:05,1ชม.0นาที,Direct,1220,"฿1,220",2026-01-28T13:03:56.735171,airpaz.com
2026-03-26,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,16:00,17:05,1ชม.5นาที,Direct,913,฿913,2026-01-28T13:04:25.625782,airpaz.com
2026-03-26,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,15:05,16:05,1ชม.0นาที,Direct,1074,"฿1,074",2026-01-28T13:04:25.660368,airpaz.com
2026-03-26,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1076,"฿1,076",2026-01-28T13:04:25.701756,airpaz.com
2026-03-27,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,15:05,16:05,1ชม.0นาที,Direct,1074,"฿1,074",2026-01-28T13:04:53.738808,airpaz.com
2026-03-27,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1076,"฿1,076",2026-01-28T13:04:53.762944,airpaz.com
2026-03-28,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,15:05,16:05,1ชม.0นาที,Direct,1074,"฿1,074",2026-01-28T13:05:22.671738,airpaz.com
2026-03-28,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1076,"฿1,076",2026-01-28T13:05:22.737310,airpaz.com
2026-03-29,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,16:00,17:05,1ชม.5นาที,Direct,913,฿913,2026-01-28T13:05:26.622555,airpaz.com
2026-03-29,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,15:05,16:05,1ชม.0นาที,Direct,1074,"฿1,074",2026-01-28T13:05:26.658073,airpaz.com
2026-03-29,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,06:55,07:55,1ชม.0นาที,Direct,1076,"฿1,076",2026-01-28T13:05:26.706728,airpaz.com
2026-03-30,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,15:30,16:35,1ชม.5นาที,Direct,913,฿913,2026-01-28T13:05:54.928368,airpaz.com
2026-03-30,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,13:00,14:00,1ชม.0นาที,Direct,1074,"฿1,074",2026-01-28T13:05:54.959441,airpaz.com
2026-03-30,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,07:55,09:00,1ชม.5นาที,Direct,1076,"฿1,076",2026-01-28T13:05:54.996029,airpaz.com
2026-03-31,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,15:30,16:35,1ชม.5นาที,Direct,913,฿913,2026-01-28T13:06:23.049867,airpaz.com
2026-03-31,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,13:00,14:00,1ชม.0นาที,Direct,1074,"฿1,074",2026-01-28T13:06:23.074428,airpaz.com
