date,origin_group,dep_airport,arr_airport,destination,airline,airline_code,dep_time,arr_time,duration,stops,price_value,price_text,scraped_at,source
2026-02-07,BKKA,DMK,TST,TST,Thai Lion Air,SL,8:05,9:30,1ชม.25นาที,Direct,1734,"฿1,734",2026-01-26 9:32:45,airpaz.com
2026-02-07,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1734,"฿1,734",2026-01-26 9:32:45,airpaz.com
2026-02-07,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,2049,"฿2,049",2026-01-26 9:32:45,airpaz.com
2026-02-07,BKKA,DMK,TST,TST,Thai AirAsia,FD,7:50,9:20,1ชม.30นาที,Direct,2065,"฿2,065",2026-01-26 9:32:45,airpaz.com
2026-02-08,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1449,"฿1,449",2026-01-26 9:33:14,airpaz.com
2026-02-08,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,1634,"฿1,634",2026-01-26 9:33:14,airpaz.com
2026-02-08,BKKA,DMK,TST,TST,Thai Lion Air,SL,8:05,9:30,1ชม.25นาที,Direct,1734,"฿1,734",2026-01-26 9:33:14,airpaz.com
2026-02-08,BKKA,DMK,TST,TST,Thai AirAsia,FD,7:50,9:20,1ชม.30นาที,Direct,1777,"฿1,777",2026-01-26 9:33:14,airpaz.com
2026-02-08,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,2049,"฿2,049",2026-01-26 9:33:14,airpaz.com
2026-02-09,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1259,"฿1,259",2026-01-26 9:33:42,airpaz.com
2026-02-09,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:45,19:10,1ชม.25นาที,Direct,1287,"฿1,287",2026-01-26 9:33:42,airpaz.com
2026-02-09,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,1441,"฿1,441",2026-01-26 9:33:42,airpaz.com
2026-02-09,BKKA,DMK,TST,TST,Thai Lion Air,SL,8:05,9:30,1ชม.25นาที,Direct,1449,"฿1,449",2026-01-26 9:33:43,airpaz.com
2026-02-09,BKKA,DMK,TST,TST,Thai AirAsia,FD,7:50,9:20,1ชม.30นาที,Direct,2065,"฿2,065",2026-01-26 9:33:43,airpaz.com
2026-02-10,BKKA,DMK,TST,TST,Thai Lion Air,SL,8:05,9:30,1ชม.25นาที,Direct,1259,"฿1,259",2026-01-26 9:34:11,airpaz.com
2026-02-10,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,1287,"฿1,287",2026-01-26 9:34:11,airpaz.com
2026-02-10,BKKA,DMK,TST,TST,Thai AirAsia,FD,7:50,9:20,1ชม.30นาที,Direct,1297,"฿1,297",2026-01-26 9:34:11,airpaz.com
2026-02-10,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,1441,"฿1,441",2026-01-26 9:34:11,airpaz.com
2026-02-10,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1449,"฿1,449",2026-01-26 9:34:11,airpaz.com
2026-02-11,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,1441,"฿1,441",2026-01-26 9:34:40,airpaz.com
2026-02-11,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,1763,"฿1,763",2026-01-26 9:34:40,airpaz.com
2026-02-11,BKKA,DMK,TST,TST,Thai AirAsia,FD,7:50,9:20,1ชม.30นาที,Direct,1777,"฿1,777",2026-01-26 9:34:40,airpaz.com
2026-02-12,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,1441,"฿1,441",2026-01-26 9:34:42,airpaz.com
2026-02-12,BKKA,DMK,TST,TST,Thai Lion Air,SL,8:05,9:30,1ชม.25นาที,Direct,1449,"฿1,449",2026-01-26 9:34:43,airpaz.com
2026-02-12,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,1449,"฿1,449",2026-01-26 9:34:43,airpaz.com
2026-02-12,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,1763,"฿1,763",2026-01-26 9:34:43,airpaz.com
2026-02-12,BKKA,DMK,TST,TST,Thai AirAsia,FD,7:50,9:20,1ชม.30นาที,Direct,1777,"฿1,777",2026-01-26 9:34:43,airpaz.com
2026-02-13,BKKA,DMK,TST,TST,Thai Lion Air,SL,8:05,9:30,1ชม.25นาที,Direct,1924,"฿1,924",2026-01-26 9:35:12,airpaz.com
2026-02-13,BKKA,DMK,TST,TST,Thai AirAsia,FD,7:50,9:20,1ชม.30นาที,Direct,2259,"฿2,259",2026-01-26 9:35:12,airpaz.com
2026-02-13,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,2402,"฿2,402",2026-01-26 9:35:12,airpaz.com
2026-02-13,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,2589,"฿2,589",2026-01-26 9:35:12,airpaz.com
2026-02-13,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,3918,"฿3,918",2026-01-26 9:35:12,airpaz.com
2026-02-14,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,2402,"฿2,402",2026-01-26 9:35:41,airpaz.com
2026-02-14,BKKA,DMK,TST,TST,Thai Lion Air,SL,15:30,16:55,1ชม.25นาที,Direct,2589,"฿2,589",2026-01-26 9:35:41,airpaz.com
2026-02-14,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,3080,"฿3,080",2026-01-26 9:35:41,airpaz.com
2026-02-14,BKKA,DMK,TST,TST,Thai Lion Air,SL,8:05,9:30,1ชม.25นาที,Direct,3254,"฿3,254",2026-01-26 9:35:41,airpaz.com
2026-02-14,BKKA,DMK,TST,TST,Thai AirAsia,FD,7:50,9:20,1ชม.30นาที,Direct,5473,"฿5,473",2026-01-26 9:35:41,airpaz.com
2026-02-15,BKKA,DMK,TST,TST,Thai AirAsia,FD,7:50,9:20,1ชม.30นาที,Direct,2259,"฿2,259",2026-01-26 9:36:10,airpaz.com
2026-02-15,BKKA,DMK,TST,TST,Nok Air,DD,12:40,14:10,1ชม.30นาที,Direct,2402,"฿2,402",2026-01-26 9:36:10,airpaz.com
2026-02-15,BKKA,DMK,TST,TST,Thai AirAsia,FD,17:40,19:05,1ชม.25นาที,Direct,2451,"฿2,451",2026-01-26 9:36:10,airpaz.com
2026-02-16,BKKA,DMK,TST,TST,Thai Lion Air,SL,8:05,9:30,1ชม.25นาที,Direct,1924,"฿1,924",2026-01-26 9:36:14,airpaz.com
